Date,IPO_Name,Profile,Issue_Size,QIB,HNI,RII,Total,Bid_Price,Listing_Open,Listing_Close,Listing_Gains,CMP,Current_Gains
18-11-21,One 97(Paytm),/ipo/one-97(paytm)_OC10.html,18915.9,2.79,0.24,1.66,1.89,2150.0,1955.0,1564.15,-27.25,1564.15,-27.25
18-11-21,Sapphire Foods,/ipo/sapphire-foods_SFI05.html,2073.0,3.11,2.34,5.25,3.29,1180.0,1311.0,1216.05,3.06,1216.05,3.06
15-11-21,SJS Enterprises,/ipo/sjs-enterprises_E09.html,816.57,1.42,2.32,1.38,1.59,542.0,514.0,509.85,-5.93,468.9,-13.49
15-11-21,Sigachi Ind,/ipo/sigachi-ind_SIL17.html,0.0,42.15,78.82,41.26,49.56,163.0,575.0,603.75,270.4,572.15,251.01
15-11-21,PB Fintech,/ipo/pb-fintech_PF15.html,6273.5,9.83,2.58,1.67,6.48,980.0,1444.0,1202.9,22.74,1330.9,35.81
12-11-21,FINO Payments,/ipo/fino-payments_FPB01.html,1209.0,1.65,0.21,5.92,2.03,577.0,548.0,545.25,-5.5,450.2,-21.98
10-11-21,FSN E-Co(Nykaa),/ipo/fsn-e-co(nykaa)_FEV.html,5375.0,91.18,112.02,12.24,81.78,1125.0,2001.0,2206.7,96.15,2117.75,88.24
11-10-21,ABSL AMC,/ipo/absl-amc_ABS.html,2768.0,4.1,2.6,1.68,2.43,712.0,697.5,699.65,-1.73,585.6,-17.75
01-10-21,Paras Defence,/ipo/paras-defence_PDS01.html,181.13,90.48,435.14,61.42,150.07,175.0,475.0,498.75,185.0,721.5,312.29
24-09-21,Sansera Eng,/ipo/sansera-eng_SE30.html,1282.0,26.47,11.37,3.15,11.47,744.0,845.05,818.7,10.04,850.5,14.31
14-09-21,AMI Organics,/ipo/ami-organics_AO05.html,571.96,86.64,154.81,13.36,64.54,610.0,902.0,934.55,53.2,964.8,58.16
14-09-21,Vijaya Diagnost,/ipo/vijaya-diagnost_VDC01.html,1895.04,13.07,1.32,1.09,4.54,531.0,542.3,619.3,16.63,580.0,9.23
06-09-21,APTUS VALUE,/ipo/aptus-value_AVH.html,2790.0,32.41,33.91,1.35,17.2,353.0,360.0,374.05,5.96,349.9,-0.88
24-08-21,CHEMPLAST SANMA,/ipo/chemplast-sanma_CS18.html,3929.91,2.7,1.03,2.29,2.17,541.0,570.0,534.9,-1.13,611.95,13.11
23-08-21,Nuvoco Vistas,/ipo/nuvoco-vistas_NVC.html,5089.29,0.1,0.02,0.24,0.15,570.0,471.0,531.3,-6.79,515.25,-9.61
20-08-21,CarTrade Tech,/ipo/cartrade-tech_CT09.html,2998.0,0.55,0.09,0.81,0.58,1618.0,1600.0,1500.1,-7.29,1050.4,-35.08
16-08-21,Krsnaa Diagnost,/ipo/krsnaa-diagnost_KD08.html,1222.0,49.83,116.3,42.04,64.4,954.0,1025.0,990.75,3.85,649.85,-31.88
16-08-21,Windlas Biotech,/ipo/windlas-biotech_WB01.html,405.95,24.4,15.73,24.27,22.47,460.0,439.0,406.7,-11.59,295.3,-35.8
16-08-21,Exxaro Tiles,/ipo/exxaro-tiles_ET05.html,161.09,17.67,5.36,40.1,22.68,120.0,126.0,132.25,10.21,150.3,25.25
16-08-21,Devyani Int,/ipo/devyani-int_DI23.html,1858.0,95.27,213.06,39.52,116.71,90.0,141.0,123.35,37.06,149.85,66.5
09-08-21,Rolex Rings,/ipo/rolex-rings_RR10.html,732.27,143.58,360.11,24.49,130.44,900.0,1249.0,1166.55,29.62,1140.0,26.67
06-08-21,Glenmark Life,/ipo/glenmark-life_GLS01.html,1513.0,0.98,0.87,4.61,2.78,720.0,752.0,748.2,3.92,626.7,-12.96
29-07-21,Tatva Chintan,/ipo/tatva-chintan_TCP02.html,500.0,2.55,9.78,13.36,9.5,1083.0,2111.8,2310.25,113.32,2567.35,137.06
23-07-21,Zomato,/ipo/zomato_Z01.html,9375.0,51.79,32.96,7.45,38.25,76.0,115.0,125.85,65.59,154.65,103.49
19-07-21,Clean Science,/ipo/clean-science_CST.html,1546.0,156.37,206.43,9.0,93.41,900.0,1784.4,1585.2,76.13,2137.5,137.5
19-07-21,G R Infra,/ipo/g-r-infra_I13.html,963.28,93.18,73.01,4.89,43.48,837.0,1700.0,1746.8,108.7,1933.4,130.99
07-07-21,India Pesticide,/ipo/india-pesticide_IP09.html,800.0,2.64,1.36,4.4,3.25,296.0,360.0,335.45,13.33,308.6,4.26
05-07-21,Krishna Inst.,/ipo/krishna-inst._KIO01.html,2146.0,5.26,1.89,2.9,3.86,825.0,1009.0,1096.8,32.95,1255.65,52.2
